Date,Close/Last,Volume,Open,High,Low
01/11/2022,0.15624,N/A,0.15624,0.15624,0.15624
01/10/2022,0.15618,N/A,0.15618,0.15618,0.15618
01/07/2022,0.15604,N/A,0.15604,0.15604,0.15604
01/06/2022,0.15575,N/A,0.15575,0.15575,0.15575
01/05/2022,0.15689,N/A,0.15689,0.15689,0.15689
01/04/2022,0.15682,N/A,0.15682,0.15682,0.15682
01/03/2022,0.15705,N/A,0.15705,0.15705,0.15705
12/31/2021,0.15724,N/A,0.15724,0.15724,0.15724
12/30/2021,0.15658,N/A,0.15658,0.15658,0.15658
12/29/2021,0.15679,N/A,0.15679,0.15679,0.15679
12/28/2021,0.15676,N/A,0.15676,0.15676,0.15676
12/27/2021,0.15668,N/A,0.15668,0.15668,0.15668
12/23/2021,0.1566,N/A,0.1566,0.1566,0.1566
12/22/2021,0.15645,N/A,0.15645,0.15645,0.15645
12/21/2021,0.15648,N/A,0.15648,0.15648,0.15648
12/20/2021,0.15633,N/A,0.15633,0.15633,0.15633
12/17/2021,0.15618,N/A,0.15618,0.15618,0.15618
12/16/2021,0.1539,N/A,0.1539,0.1539,0.1539
12/15/2021,0.1539,N/A,0.1539,0.1539,0.1539
12/14/2021,0.15648,N/A,0.15648,0.15648,0.15648
12/13/2021,0.157139,N/A,0.157139,0.157139,0.157139
12/10/2021,0.15692,N/A,0.15692,0.15692,0.15692
12/09/2021,0.15729,N/A,0.15729,0.15729,0.15729
12/08/2021,0.15739,N/A,0.15739,0.15739,0.15739
12/07/2021,0.15701,N/A,0.15701,0.15701,0.15701
12/06/2021,0.15677,N/A,0.15677,0.15677,0.15677
12/03/2021,0.1568,N/A,0.1568,0.1568,0.1568
12/02/2021,0.15694,N/A,0.15694,0.15694,0.15694
12/01/2021,0.15681,N/A,0.15681,0.15681,0.15681
11/30/2021,0.15688,N/A,0.15688,0.15688,0.15688
11/29/2021,0.15638,N/A,0.15638,0.15638,0.15638
11/26/2021,0.15617,N/A,0.15617,0.15617,0.15617
11/24/2021,0.15605,N/A,0.15605,0.15605,0.15605
11/23/2021,0.15622,N/A,0.15622,0.15622,0.15622
11/22/2021,0.15623,N/A,0.15623,0.15623,0.15623
11/19/2021,0.15618,N/A,0.15618,0.15618,0.15618
11/18/2021,0.1564,N/A,0.1564,0.1564,0.1564
11/17/2021,0.15648,N/A,0.15648,0.15648,0.15648
11/16/2021,0.15611,N/A,0.15611,0.15611,0.15611
11/15/2021,0.156729,N/A,0.156729,0.156729,0.156729
11/12/2021,0.15652,N/A,0.15652,0.15652,0.15652
11/11/2021,0.15621,N/A,0.15621,0.15621,0.15621
11/10/2021,0.15628,N/A,0.15628,0.15628,0.15628
11/09/2021,0.15638,N/A,0.15638,0.15638,0.15638
11/08/2021,0.15641,N/A,0.15641,0.15641,0.15641
11/05/2021,0.15622,N/A,0.15622,0.15622,0.15622
11/04/2021,0.15626,N/A,0.15626,0.15626,0.15626
11/03/2021,0.15622,N/A,0.15622,0.15622,0.15622
11/02/2021,0.15605,N/A,0.15605,0.15605,0.15605
11/01/2021,0.15616,N/A,0.15616,0.15616,0.15616
10/29/2021,0.15588,N/A,0.15588,0.15588,0.15588
10/28/2021,0.15633,N/A,0.15633,0.15633,0.15633
10/27/2021,0.15627,N/A,0.15627,0.15627,0.15627
10/26/2021,0.15649,N/A,0.15649,0.15649,0.15649
10/25/2021,0.15638,N/A,0.15638,0.15638,0.15638
10/22/2021,0.15632,N/A,0.15632,0.15632,0.15632
10/21/2021,0.15601,N/A,0.15601,0.15601,0.15601
10/20/2021,0.15603,N/A,0.15603,0.15603,0.15603
10/19/2021,0.15644,N/A,0.15644,0.15644,0.15644
10/18/2021,0.155431,N/A,0.155431,0.155431,0.155431
10/15/2021,0.15548,N/A,0.15548,0.15548,0.15548
10/14/2021,0.15537,N/A,0.15537,0.15537,0.15537
10/13/2021,0.15533,N/A,0.15533,0.15533,0.15533
10/12/2021,0.15484,N/A,0.15484,0.15484,0.15484
10/11/2021,0.15485,N/A,0.15485,0.15485,0.15485
10/08/2021,0.15506,N/A,0.15506,0.15506,0.15506
10/07/2021,0.15483,N/A,0.15483,0.15483,0.15483
10/06/2021,0.15477,N/A,0.15477,0.15477,0.15477
10/05/2021,0.15497,N/A,0.15497,0.15497,0.15497
10/04/2021,0.15493,N/A,0.15493,0.15493,0.15493
10/01/2021,0.15535,N/A,0.15535,0.15535,0.15535
09/30/2021,0.15499,N/A,0.15499,0.15499,0.15499
09/29/2021,0.15431,N/A,0.15431,0.15431,0.15431
09/28/2021,0.15449,N/A,0.15449,0.15449,0.15449
09/27/2021,0.15458,N/A,0.15458,0.15458,0.15458
09/24/2021,0.1544,N/A,0.1544,0.1544,0.1544
09/23/2021,0.15448,N/A,0.15448,0.15448,0.15448
09/22/2021,0.15423,N/A,0.15423,0.15423,0.15423
09/21/2021,0.1539,N/A,0.1539,0.1539,0.1539
09/20/2021,0.15382,N/A,0.15382,0.15382,0.15382
09/17/2021,0.15415,N/A,0.15415,0.15415,0.15415
09/16/2021,0.15458,N/A,0.15458,0.15458,0.15458
09/15/2021,0.15508,N/A,0.15508,0.15508,0.15508
09/14/2021,0.15486,N/A,0.15486,0.15486,0.15486
09/13/2021,0.154932,N/A,0.154932,0.154932,0.154932
09/10/2021,0.1552,N/A,0.1552,0.1552,0.1552
09/09/2021,0.15487,N/A,0.15487,0.15487,0.15487
09/08/2021,0.15474,N/A,0.15474,0.15474,0.15474
09/07/2021,0.15472,N/A,0.15472,0.15472,0.15472
09/03/2021,0.15515,N/A,0.15515,0.15515,0.15515
09/02/2021,0.15489,N/A,0.15489,0.15489,0.15489
